,competênciamov,município,seção,saldomovimentação,sexo,graudeinstrução
253,2023-01-01,Pb-Borborema,Educação,-1,Mulher,1
254,2023-01-01,Pb-Brejo do Cruz,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,1
255,2023-01-01,Pb-Brejo do Cruz,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
256,2023-01-01,Pb-Brejo do Cruz,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
257,2023-01-01,Pb-Brejo do Cruz,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,1
258,2023-01-01,Pb-Brejo do Cruz,Construção,-1,Homem,4
259,2023-01-01,Pb-Brejo do Cruz,Construção,1,Mulher,1
260,2023-01-01,Pb-Brejo do Cruz,Indústrias de Transformação,-1,Mulher,1
261,2023-01-01,Pb-Brejo dos Santos,Construção,-1,Homem,2
262,2023-01-01,Pb-Caapora,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Homem,13
263,2023-01-01,Pb-Caapora,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",1,Homem,2
264,2023-01-01,Pb-Caapora,Alojamento e Alimentação,-1,Homem,3
265,2023-01-01,Pb-Caapora,Alojamento e Alimentação,-1,Mulher,1
266,2023-01-01,Pb-Caapora,Alojamento e Alimentação,1,Homem,1
267,2023-01-01,Pb-Caapora,Alojamento e Alimentação,1,Mulher,1
268,2023-01-01,Pb-Caapora,Atividades Administrativas e Serviços Complementares,-1,Homem,1
269,2023-01-01,Pb-Caapora,Atividades Administrativas e Serviços Complementares,1,Homem,29
270,2023-01-01,Pb-Caapora,Atividades Administrativas e Serviços Complementares,1,Mulher,1
271,2023-01-01,Pb-Caapora,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,9
272,2023-01-01,Pb-Caapora,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,9
273,2023-01-01,Pb-Caapora,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,11
274,2023-01-01,Pb-Caapora,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,4
275,2023-01-01,Pb-Caapora,Construção,-1,Homem,1
276,2023-01-01,Pb-Caapora,Construção,1,Homem,1
277,2023-01-01,Pb-Caapora,Indústrias de Transformação,-1,Homem,33
278,2023-01-01,Pb-Caapora,Indústrias de Transformação,-1,Mulher,19
279,2023-01-01,Pb-Caapora,Indústrias de Transformação,1,Homem,16
280,2023-01-01,Pb-Caapora,Indústrias de Transformação,1,Mulher,3
281,2023-01-01,Pb-Caapora,Informação e Comunicação,-1,Homem,2
282,2023-01-01,Pb-Caapora,Informação e Comunicação,1,Homem,2
283,2023-01-01,Pb-Caapora,"Transporte, Armazenagem e Correio",-1,Homem,5
284,2023-01-01,Pb-Caapora,"Transporte, Armazenagem e Correio",1,Homem,3
285,2023-01-01,Pb-Cabaceiras,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
286,2023-01-01,Pb-Cabaceiras,Construção,-1,Homem,2
287,2023-01-01,Pb-Cabaceiras,Construção,1,Homem,9
288,2023-01-01,Pb-Cabaceiras,Outras Atividades de Serviços,1,Homem,1
289,2023-01-01,Pb-Cabedelo,Alojamento e Alimentação,-1,Homem,11
290,2023-01-01,Pb-Cabedelo,Alojamento e Alimentação,-1,Mulher,18
291,2023-01-01,Pb-Cabedelo,Alojamento e Alimentação,1,Homem,20
292,2023-01-01,Pb-Cabedelo,Alojamento e Alimentação,1,Mulher,40
293,2023-01-01,Pb-Cabedelo,"Artes, Cultura, Esporte e Recreação",-1,Homem,1
294,2023-01-01,Pb-Cabedelo,"Artes, Cultura, Esporte e Recreação",-1,Mulher,1
295,2023-01-01,Pb-Cabedelo,"Artes, Cultura, Esporte e Recreação",1,Homem,2
296,2023-01-01,Pb-Cabedelo,Atividades Administrativas e Serviços Complementares,-1,Homem,36
297,2023-01-01,Pb-Cabedelo,Atividades Administrativas e Serviços Complementares,-1,Mulher,11
298,2023-01-01,Pb-Cabedelo,Atividades Administrativas e Serviços Complementares,1,Homem,21
299,2023-01-01,Pb-Cabedelo,Atividades Administrativas e Serviços Complementares,1,Mulher,6
300,2023-01-01,Pb-Cabedelo,"Atividades Financeiras, de Seguros e Serviços Relacionados",-1,Homem,1
